p_bowl,bowl,bowlruns,ballfaced,p_match,bowl_style,economy,outs,average,strike rate
233514,Thisara Perera,2550,1679,104,RFM,9.112567004169149,94,27.127659574468087,17.861702127659573
670013,Fabian Allen,1873,1446,86,SLA,7.771784232365145,69,27.144927536231883,20.956521739130434
526021,Cole McConchie,1331,1087,62,OB,7.346826126954922,49,27.163265306122447,22.183673469387756
45705,Colin Ingram,1006,781,53,RWS,7.728553137003841,37,27.18918918918919,21.10810810810811
643433,George Garton,1498,1020,61,LF,8.811764705882354,55,27.236363636363638,18.545454545454547
1096123,Luke Hollman,1035,722,42,RWS,8.601108033240997,38,27.236842105263158,19.0
20032,Chris Rushworth,1117,886,44,RFM,7.564334085778781,41,27.24390243902439,21.609756097560975
500268,Ashton Turner,627,507,50,OB,7.420118343195266,23,27.26086956521739,22.043478260869566
480603,Iftikhar Ahmed,1010,805,72,OB,7.527950310559007,37,27.2972972972973,21.756756756756758
297626,Will Beer,1557,1180,65,RWS,7.916949152542373,57,27.31578947368421,20.70175438596491
1168641,Harpreet Brar,1041,851,46,SLA,7.339600470035252,38,27.394736842105264,22.394736842105264
1158088,Naseem Shah,2255,1749,79,RF,7.735849056603773,82,27.5,21.329268292682926
590326,Mitchell Swepson,1898,1491,71,RWS,7.637826961770624,69,27.507246376811594,21.608695652173914
311158,Ben Stokes,2149,1515,87,RFM,8.510891089108911,78,27.55128205128205,19.423076923076923
348148,Mohammad Nawaz,4079,3180,165,SLA,7.69622641509434,148,27.56081081081081,21.486486486486488
437506,Imran Manack,882,824,37,OB,6.422330097087379,32,27.5625,25.75
4864,Dan Christian,4724,3267,210,RFM,8.67584940312213,171,27.625730994152047,19.105263157894736
30288,Karn Sharma,1410,1000,53,RWS,8.46,51,27.647058823529413,19.607843137254903
29264,Harbhajan Singh,1853,1500,71,OB,7.412,67,27.65671641791045,22.388059701492537
316909,Basheeru-Deen Walters,776,631,30,RFM,7.378763866877971,28,27.714285714285715,22.535714285714285
43685,Yasir Shah,1555,1262,59,RWS,7.393026941362916,56,27.767857142857142,22.535714285714285
44932,Jean-Paul Duminy,667,505,42,OB,7.924752475247525,24,27.791666666666668,21.041666666666668
554691,Axar Patel,4178,3383,166,SLA,7.409991132131244,150,27.85333333333333,22.553333333333335
429897,Mathew Pillans,1059,708,36,RF,8.974576271186441,38,27.86842105263158,18.63157894736842
527776,Ollie Robinson,1144,788,39,RFM,8.710659898477157,41,27.902439024390244,19.21951219512195
381002,Graeme van Buuren,925,711,45,SLA,7.805907172995781,33,28.03030303030303,21.545454545454547
43524,Umar Gul,841,540,26,RFM,9.344444444444445,30,28.033333333333335,18.0
629070,Mohammad Saifuddin,1010,707,34,RFM,8.571428571428571,36,28.055555555555557,19.63888888888889
625371,Hardik Pandya,3761,2678,164,RFM,8.426437640029873,134,28.067164179104477,19.98507462686567
301648,Jordan Clark,1489,990,64,RFM,9.024242424242424,53,28.09433962264151,18.67924528301887
385065,Asif Afridi,872,683,37,SLA,7.660322108345534,31,28.129032258064516,22.032258064516128
272465,James Pattinson,987,670,33,RFM,8.838805970149254,35,28.2,19.142857142857142
1182529,Noor Ahmad,1271,1025,46,LWS,7.44,45,28.244444444444444,22.77777777777778
234675,Ravindra Jadeja,3941,3162,167,SLA,7.478178368121442,139,28.35251798561151,22.74820143884892
522898,Charlie Morris,851,537,28,RFM,9.508379888268156,30,28.366666666666667,17.9
22559,Graham Wagg,1650,1122,61,LMF,8.823529411764707,58,28.448275862068964,19.344827586206897
520551,Arron Lilley,1195,937,65,OB,7.652081109925294,42,28.452380952380953,22.30952380952381
43654,Yasir Arafat,1053,702,32,RFM,9.0,37,28.45945945945946,18.972972972972972
434429,Aamer Yamin,1850,1332,71,RM,8.333333333333334,65,28.46153846153846,20.49230769230769
51782,Fidel Edwards,1338,954,46,RF,8.415094339622641,47,28.46808510638298,20.29787234042553
325026,Glenn Maxwell,3445,2671,200,OB,7.738674653687758,121,28.47107438016529,22.074380165289256
646847,Dom Bess,940,739,41,OB,7.631935047361299,33,28.484848484848484,22.393939393939394
940973,Mohammed Siraj,2621,1848,88,RFM,8.50974025974026,92,28.48913043478261,20.08695652173913
6033,Mitchell Johnson,1254,974,42,LF,7.724845995893224,44,28.5,22.136363636363637
571102,Fynn Hudson-Prentice,913,552,35,RFM,9.923913043478262,32,28.53125,17.25
232491,Anwar Ali,2828,1867,99,RFM,9.088377075522228,99,28.565656565656564,18.858585858585858
774219,Matthew Kuhnemann,686,552,30,SLA,7.456521739130435,24,28.583333333333332,23.0
277955,Dhawal Kulkarni,1801,1317,66,RM,8.20501138952164,63,28.58730158730159,20.904761904761905
914623,Liam Trevaskis,1659,1252,60,SLA,7.9504792332268375,58,28.603448275862068,21.586206896551722
213674,Todd Astle,1173,964,46,RWS,7.300829875518672,41,28.609756097560975,23.51219512195122
591650,Ankit Rajpoot,917,621,32,RM,8.859903381642512,32,28.65625,19.40625
785323,Nathan McAndrew,1437,965,52,RFM,8.934715025906735,50,28.74,19.3
214974,Mitchell Claydon,1787,1219,54,RFM,8.795734208367515,62,28.822580645161292,19.661290322580644
23513,Graeme White,2165,1592,84,SLA,8.159547738693467,75,28.866666666666667,21.226666666666667
527663,Jagadeesha Suchith,780,570,29,SLA,8.210526315789474,27,28.88888888888889,21.11111111111111
543195,Gregory Mahlokwana,665,558,30,SLA,7.150537634408602,23,28.91304347826087,24.26086956521739
639140,Matt Milnes,1245,823,43,RFM,9.076549210206561,43,28.953488372093023,19.13953488372093
464110,Josh Poysden,695,532,28,RWS,7.838345864661654,24,28.958333333333332,22.166666666666668
557298,Daniel Worrall,1687,1251,63,RFM,8.091127098321342,58,29.086206896551722,21.56896551724138
481875,George Linde,2913,2272,113,SLA,7.692781690140845,100,29.13,22.72
362565,Craig Meschede,992,687,45,RFM,8.663755458515285,34,29.176470588235293,20.205882352941178
511247,Matt Taylor,1430,988,51,LFM,8.68421052631579,49,29.183673469387756,20.163265306122447
280490,JJ Smuts,1870,1635,88,SLA,6.862385321100917,64,29.21875,25.546875
458895,Andrew Salter,1726,1232,65,OB,8.405844155844155,59,29.25423728813559,20.88135593220339
53115,Daren Sammy,1201,795,61,RM,9.064150943396227,41,29.29268292682927,19.390243902439025
696143,Shane Snater,1114,697,42,RFM,9.589670014347202,38,29.31578947368421,18.342105263157894
552152,Dushmantha Chameera,2260,1654,76,RF,8.198307134220073,77,29.350649350649352,21.48051948051948
215152,Jackson Bird,1594,1265,65,RFM,7.560474308300395,54,29.51851851851852,23.425925925925927
917159,Prasidh Krishna,2128,1456,65,RFM,8.76923076923077,72,29.555555555555557,20.22222222222222
46543,Wayne Madsen,742,551,42,OB,8.079854809437387,25,29.68,22.04
1094992,Prem Sisodiya,1223,895,40,SLA,8.198882681564246,41,29.829268292682926,21.829268292682926
528067,Murugan Ashwin,1469,1144,57,RWS,7.704545454545454,49,29.979591836734695,23.346938775510203
600498,Aiden Markram,812,646,54,OB,7.541795665634675,27,30.074074074074073,23.925925925925927
1124283,Aaron Hardie,788,528,34,RFM,8.954545454545455,26,30.307692307692307,20.307692307692307
719715,Washington Sundar,2306,1909,100,OB,7.247773703509691,76,30.342105263157894,25.11842105263158
488620,Tladi Bokako,972,697,38,RF,8.36728837876614,32,30.375,21.78125
308798,D'Arcy Short,1889,1348,94,LWS,8.408011869436201,62,30.467741935483872,21.741935483870968
