,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,ball.1,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,pitchLine,pitchLength,shotType
676220,1137472,1,Dinushka Malan,1070063,Lankan Cricket Club,Dilruwan Perera,49920,Colts Cricket Club,12,1137472_1_16_12,four,4,False,,1070063,16,12,0,0,0,0,30,26,1.0,0,7,71,6,96,,0,4.43,,,0,2018-03-01,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Colts Cricket Club,Colts Cricket Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,4,1,4,True,0,0,0,,,
683883,1211872,1,Chanaka Wijesinghe,50996,Kandy Customs Cricket Club,Amila Aponso,429748,Ragama Cricket Club,12,1211872_1_7_12,no run,0,False,,50996,7,12,0,0,0,0,4,10,0.5,0,2,21,3,41,,0,3.07,,,0,2020-01-06,2020,Colombo Cricket Club Ground,Sri Lanka,Ragama Cricket Club,Kandy Customs Cricket Club,SLC T20,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
683884,1211872,1,Chanaka Wijesinghe,50996,Kandy Customs Cricket Club,Amila Aponso,429748,Ragama Cricket Club,13,1211872_1_7_13,no run,0,False,,50996,7,13,0,0,0,0,9,13,1.0,0,2,30,3,42,,0,4.28,,,0,2020-01-06,2020,Colombo Cricket Club Ground,Sri Lanka,Ragama Cricket Club,Kandy Customs Cricket Club,SLC T20,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
683888,1211872,1,Chanaka Wijesinghe,50996,Kandy Customs Cricket Club,Amila Aponso,429748,Ragama Cricket Club,12,1211872_1_9_12,no run,0,False,,50996,9,12,0,0,0,0,10,17,1.5,0,4,32,3,53,,0,3.62,,,0,2020-01-06,2020,Colombo Cricket Club Ground,Sri Lanka,Ragama Cricket Club,Kandy Customs Cricket Club,SLC T20,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
683889,1211872,1,Chanaka Wijesinghe,50996,Kandy Customs Cricket Club,Amila Aponso,429748,Ragama Cricket Club,13,1211872_1_9_13,no run,0,False,,50996,9,13,0,0,0,0,11,21,2.0,0,4,41,3,54,,0,4.55,,,0,2020-01-06,2020,Colombo Cricket Club Ground,Sri Lanka,Ragama Cricket Club,Kandy Customs Cricket Club,SLC T20,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
698917,1272214,2,Nipun Dananjaya,1126082,SLC Reds,Matheesha Pathirana,1194795,SLC Greys,12,1272214_2_14_12,four,4,False,,1126082,14,12,0,0,0,0,4,1,3.0,2,28,117,5,84,85.0,36,8.35,14.16,202.0,120,2021-08-24,2021,Pallekele International Cricket Stadium,Sri Lanka,SLC Greys,SLC Greys,SLC T20,LHB,RM,pace bowler,4,1,4,True,0,0,0,,,
713221,1137456,1,Malith Cooray,386509,Kurunegala Youth Cricket Club,Kosala Kulasekara,49477,Moors Sports Club,12,1137456_1_6_12,run,1,False,,386509,6,12,0,0,0,0,3,6,2.0,0,11,44,2,36,,0,7.33,,,0,2018-02-25,2018,"Army Ground, Panagoda",Sri Lanka,Moors Sports Club,Kurunegala Youth Cricket Club,SLC Twenty-20 Tournament,RHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
714060,1137467,1,Charith Mendis,793003,Kurunegala Youth Cricket Club,Alankara Asanka Silva,229060,Badureliya Sports Club,12,1137467_1_4_12,no run,0,False,,793003,4,12,0,0,0,0,7,8,1.3,0,9,12,1,22,,0,3.27,,,0,2018-02-27,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Badureliya Sports Club,Badureliya Sports Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
714061,1137467,1,Charith Mendis,793003,Kurunegala Youth Cricket Club,Alankara Asanka Silva,229060,Badureliya Sports Club,13,1137467_1_4_13,four,4,False,,793003,4,13,0,0,0,0,11,9,1.4,0,13,16,1,23,,0,4.17,,,0,2018-02-27,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Badureliya Sports Club,Badureliya Sports Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,4,1,4,True,0,0,0,,,
714062,1137467,1,Charith Mendis,793003,Kurunegala Youth Cricket Club,Alankara Asanka Silva,229060,Badureliya Sports Club,14,1137467_1_4_14,run,1,False,,793003,4,14,0,0,0,0,12,10,2.0,1,14,23,2,24,,0,5.75,,,0,2018-02-27,2018,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Badureliya Sports Club,Badureliya Sports Club,SLC Twenty-20 Tournament,RHB,OB,spin bowler,1,1,1,True,0,0,0,,,
