p_bat,bat,matches,batruns,ballfaced,strike rate,dismissals
429894,Andre Malan,19,491,429,114.45221445221445,15
379776,Sisanda Magala,47,489,383,127.67624020887729,31
882319,Harry Swindells,27,488,433,112.70207852193995,23
225676,Qaasim Adams,28,486,413,117.67554479418887,23
46934,Alviro Petersen,14,485,357,135.85434173669466,12
784373,Kamindu Mendis,23,484,422,114.69194312796209,22
315594,Ashley Nurse,43,482,406,118.7192118226601,25
42439,Rafatullah Mohmand,20,482,372,129.56989247311827,20
1042145,Harry Came,21,481,358,134.35754189944134,21
585338,Ruhan Pretorius,27,479,394,121.57360406091371,20
379147,Dominic Hendricks,27,478,473,101.05708245243129,22
44407,Wesley Barresi,24,476,412,115.53398058252426,20
537124,Gurkeerat Singh Mann,27,475,419,113.36515513126491,21
232364,Tim Southee,63,473,347,136.31123919308357,39
669855,Jofra Archer,57,473,331,142.90030211480362,31
481975,Edward Moore,18,470,400,117.5,18
681305,Hasan Ali,62,470,317,148.26498422712933,40
384518,Hammad Azam,29,470,375,125.33333333333333,21
321757,Rudi Second,23,467,412,113.3495145631068,20
1076377,Oliver Davies,24,465,344,135.17441860465115,23
314991,Aviwe Mgijima,37,463,409,113.20293398533008,27
353899,Michael Richardson,25,463,398,116.33165829145729,20
643433,George Garton,39,463,336,137.79761904761904,26
302845,Tony Ura,21,462,353,130.87818696883852,20
235516,Richmond Mutumbami,30,460,386,119.17098445595855,27
566805,Tom Wood,14,460,327,140.67278287461772,11
559061,Ben Horne,34,459,348,131.89655172413794,29
456405,Zain Abbas,20,456,392,116.3265306122449,19
596371,Eddie Byrom,28,456,305,149.50819672131146,26
46788,Ashwell Prince,16,455,357,127.45098039215686,15
679567,Ben Dwarshuis,52,454,351,129.34472934472936,30
1058514,Aasif Sheikh,19,452,400,113.0,18
866505,Feroze Khushi,22,452,350,129.14285714285714,22
267724,Keshav Maharaj,35,452,359,125.90529247910864,21
268740,Seekkuge Prasanna,51,449,363,123.69146005509641,41
247235,Chris Woakes,43,449,343,130.90379008746356,24
1076382,Mackenzie Harvey,28,448,375,119.46666666666667,25
959827,Jason Sangha,24,443,410,108.04878048780488,20
822485,Muhammad Akhlaq,22,442,318,138.9937106918239,21
901657,Harrison Ward,24,442,330,133.93939393939394,21
25056,Assad Vala,25,441,438,100.68493150684931,26
1123073,Anuj Rawat,27,440,375,117.33333333333333,19
45949,Rory Kleinveldt,47,439,279,157.34767025089604,32
390481,Harshal Patel,43,436,327,133.33333333333334,31
261354,Nathan Coulter-Nile,54,436,320,136.25,39
952207,Sinethemba Qeshile,33,434,388,111.85567010309278,28
277914,Jeet Raval,20,433,361,119.94459833795014,20
7547,Ben Rohrer,29,431,344,125.29069767441861,19
550189,Dayyaan Galiem,27,429,373,115.01340482573727,15
440522,Logan van Beek,45,427,331,129.00302114803625,24
1095879,Jack Davies,24,426,354,120.33898305084746,20
571102,Fynn Hudson-Prentice,32,424,349,121.48997134670488,26
467656,Tom Wells,33,424,342,123.9766081871345,25
302579,Shreevats Goswami,16,423,303,139.6039603960396,14
376169,Michael Neser,48,422,344,122.67441860465117,37
379139,Kagiso Rapulana,22,422,399,105.76441102756893,18
386271,Israrullah,18,419,312,134.2948717948718,16
24289,Niall O'Brien,20,416,371,112.12938005390835,15
55414,Sean Ervine,30,416,321,129.595015576324,25
1091078,Tion Webster,24,414,385,107.53246753246754,20
360456,Asela Gunaratne,24,413,319,129.46708463949844,17
216184,Neil Dexter,26,413,326,126.68711656441718,23
870785,Will Fraine,33,411,278,147.84172661870502,20
417381,Andy McBrine,34,411,335,122.68656716417911,22
1209110,Basil Hameed,26,410,324,126.54320987654322,21
55343,Elton Chigumbura,32,409,339,120.64896755162242,28
550215,Kagiso Rabada,60,408,385,105.97402597402598,34
209457,Chamara Kapugedera,21,408,336,121.42857142857143,17
370846,Shahzaib Hasan,13,408,311,131.18971061093248,12
